Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files
5.0,60.0,56.07,103.74,140.19,1.0,1.85,2.5,0.0,0.3971504344247599,0.1842463364899738,0.17682735464827193,0.0,0.2059642134516307,0.2197429315440543,0.0,0.0,0.15323864525107128,0.15607094597327079,0.14705105267584404,0.15015038045964998,N1 R1 sample 10_Subt2__0__11-25-47-365.csv
5.0,60.0,86.21,86.21,127.59,1.0,1.0,1.48,0.0,0.5176579430131639,0.4037268654647179,0.3310508092589663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 11_Subt2__0__11-26-06-869.csv
5.0,60.0,86.21,86.21,127.59,1.0,1.0,1.48,0.0,0.5336227266443121,0.3708861498748978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32169269819473484,N1 R1 sample 12_Subt2__0__11-26-40-875.csv
60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,0.38801630367502543,0.3362649345402648,0.0,0.25087715052424003,0.0,0.19708788106965658,0.21932676345874927,0.20710910533281504,0.19722168527122053,0.1970989313317181,0.20279207370225424,0.20016796517458801,0.20081844771916676,N1 R2 sample 1_Subt2__0__13-51-00-681.csv
60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,0.49432245365066,0.45205549661981353,0.0,0.3075162835768581,0.30790390208478585,0.3081622293185318,0.3082468130935608,0.3082074714655972,0.30811242387712773,0.30796513357247474,0.3078210029205201,0.30769149002346624,0.30978831235427334,N1 R2 sample 2_Subt2__0__13-51-39-673.csv
60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,0.4511164824632945,0.0,0.2736118248537605,0.21072579484571022,0.21239161841456242,0.2283149933807754,0.22736989208140182,0.19733887530827265,0.19725126473356744,0.19715247195032615,0.19704868184617488,0.19902023460590976,0.19925634171263887,N1 R2 sample 3_Subt2__0__13-52-37-180.csv
60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,0.38150482755947207,0.12050362807164004,0.09722929580175803,0.11276143072153082,0.10286391080652514,0.0,0.11333775933125118,0.09150273652424118,0.0925141832157244,0.08550206031701398,0.0950473156293411,0.10703848466227957,0.08967439077772714,N1 R2 sample 4_Subt2__0__13-53-27-677.csv
60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,0.35737931243418464,0.14467107255919615,0.10671139386581881,0.09294540331778385,0.08921350270145499,0.09826587355797507,0.09613104640207633,0.09814251614631231,0.10731856372152458,0.09612364903532249,0.09602564338628942,0.09700797716713933,0.08943264567463287,N1 R2 sample 5_Subt2__0__13-54-37-177.csv
60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 6_Subt2__0__13-56-28-674.csv
5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,0.6493969940687344,0.3541222742587216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 7_Subt2__0__12-58-36-751.csv
5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 8_Subt2__0__12-59-07-751.csv
5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 9_Subt2__0__12-59-25-750.csv
5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,0.6411105253397349,0.35789911924794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 10_Subt2__0__13-00-22-249.csv
5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3,0.6377313767022347,0.36547320068964256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 11_Subt2__0__13-00-52-248.csv
5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3,0.6374265331603026,0.36667796308770506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R2 sample 12_Subt2__0__13-01-43-748.csv
