Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
60.0,150.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.0,2.0,0.0777246013720342,0.3353712920781378,0.0967000070910679,0.1041443261510261,0.0,0.0,0.1002106997157861,0.1118258122520986,0.0760422771931408,0.0837520662601015,0.1058857582687862,0.1057968634744089,0.114745921504787,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,2.0,2.0,0.2758996556600719,0.1705873049621467,0.0,0.068295524134755,0.0,0.0761042169141294,0.0752497190992266,0.07814397427268,0.0716252793121169,0.0894583003367973,0.0893622528159498,0.0751707591953986,0.0811007834985112,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,2.0,2.0,0.0449163615779653,0.3162010410906761,0.0578000602536065,0.0522776941774101,0.0,0.0561011983450044,0.0613703501213564,0.0407293304479189,0.0384293622114047,0.0759961168524741,0.0405697148012479,0.0404606800014583,0.05789845763443,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.0,2.0,0.0,0.3284368012470838,0.0,0.1192983755052993,0.088993912240096,0.0858492976483935,0.089890634294801,0.085271997983172,0.0686525710542134,0.0663726349907245,0.065002010334947,0.0830791774421707,0.0871699139074578,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.0,2.0,0.1822254999377056,0.4671017549958717,0.2021497496057089,0.1792548174655485,0.0,0.184244199589724,0.1836434281832728,0.1689863281030356,0.1689285160579581,0.1688937997435556,0.1841233689266812,0.1698318636389904,0.1740748577151857,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,1.93,2.5,0.0,0.2549008792612167,0.2322521871917773,0.0,0.2541104211322009,0.0,0.417337969491211,0.0,0.0,0.191139698323174,0.215169531104626,0.1949725371619035,0.1746511928986761,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,1.93,2.5,0.1817794431809138,0.2838254002792575,0.2476504942018799,0.2867914613713538,0.0,0.0,0.3854107624433981,0.0,0.0,0.1750013786610303,0.1934484300162232,0.1933619117652967,0.1716835989471589,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,2.5,2.25,0.6223539608043143,0.3774635936826521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,2.5,2.25,0.6201147158940682,0.3804388859718065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,60.0,2.48,2.17,0.6283290953541688,0.3716218536046342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,60.0,2.48,2.17,0.6352317084348588,0.3651233667518604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,60.0,2.5,1.85,0.6414758700286217,0.3619430104076186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,60.0,2.5,1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.85,2.5,0.0,0.3971133049135371,0.2253115550134593,0.0,0.0,0.2747805761873803,0.1973140799828125,0.1749994725382666,0.1906698406434694,0.1706980721021522,0.1754228668035165,0.1853951529570572,0.1884879012686827,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.85,2.5,0.0,0.3971504344247599,0.1842463364899738,0.1768273546482719,0.0,0.2059642134516307,0.2197429315440543,0.0,0.0,0.1532386452510712,0.1560709459732707,0.147051052675844,0.1501503804596499,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.0,1.48,0.0,0.5176579430131639,0.4037268654647179,0.3310508092589663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.0,1.48,0.0,0.5336227266443121,0.3708861498748978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3216926981947348,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.45,2.5,0.3880163036750254,0.3362649345402648,0.0,0.25087715052424,0.0,0.1970878810696565,0.2193267634587492,0.207109105332815,0.1972216852712205,0.1970989313317181,0.2027920737022542,0.200167965174588,0.2008184477191667,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
